Customer Ref Number,Email,First Name,Surname,Activity Type,Activity Detail,Phone Number,Activity Date
3002700000WPwRCAA1,Kineeth@gmail.com,Kineeth,Hildreth,Downloaded Brochure,SUV,,01-02-2025
3002700000WPwRCAA1,KHILDRETH.10000.0000@gmail.com,Kenneth,Hildreth,Test Drive Sign-up,SUV,9876543210,02-02-2025
3002700000ij2A5AAI,Johnee@hotmail.com,Johnee,Reiter,Dealer Info Lookup,Location: New York,,03-02-2025
3002700000ij2A5AAI,JREITER.10000.0001@gmail.com,Johnie,Reiter,Downloaded Brochure,Sedan,,04-02-2025
3002700000igJw1AAE,DMUSGROVE.10000.0002@yahoo.com,Deidra,Musgrove,Test Drive Sign-up,Hatchback,8123456789,05-02-2025
3002700000wgVgQAAU,SGLADDEN.10000.0003@hotmail.com,Sheina,Gladden,Dealer Info Lookup,Location: Chicago,,06-02-2025
3002700000wgVgQAAU,SGLADDEN.10000.0003@hotmail.com,Sheina,Gladden,Test Drive Sign-up,Sedan,9234567890,07-02-2025
30027000002NPGKAA4,BCULPEPPER.10000.0004@hotmail.com,Bernard,Culpepper,Downloaded Brochure,SUV,,08-02-2025
3002700000Pk68JAAR,BBOYKIN.10000.0005@hotmail.com,Brock,Boykin,Dealer Info Lookup,Location: Los Angeles,,09-02-2025
30027000000TKQJAA4,EMCFARLAND.10000.0006@yahoo.com,Evelyn,Mcfarland,Downloaded Brochure,Sedan,,10-02-2025
3002700000fg7kuAAA,DMCKEOWN.10000.0007@hotmail.com,D,Mckeown,Test Drive Sign-up,Hatchback,8123456789,11-02-2025
3002700000ByL8lAAF,JWENTZ.10000.0008@yahoo.com,Jolene,Wentz,Dealer Info Lookup,Location: Chicago,,12-02-2025
3002700000ojInSAAU,AWOODBURY.10000.0009@hotmail.com,Allen,Woodbury,Downloaded Brochure,Sedan,,13-02-2025
3002700000HMIEsAAP,HPICKENS.10000.0010@yahoo.com,Helen,Pickens,Test Drive Sign-up,SUV,9988776655,14-02-2025
3002700000LPx0SAAT,JSMITH.10000.0011@gmail.com,John,Smith,Dealer Info Lookup,Location: San Francisco,,15-02-2025
3002700000LPx0SAAT,JSMITH.10000.0011@gmail.com,John,Smith,Downloaded Brochure,Hatchback,,16-02-2025
3002700000LPx0SAAT,JSMITH.10000.0011@gmail.com,John,Smith,Test Drive Sign-up,Hatchback,9001122334,17-02-2025
3002700000RTy9UAAV,MJONES.10000.0012@yahoo.com,Michael,Jones,Dealer Info Lookup,Location: Miami,,18-02-2025
3002700000RTy9UAAV,MJONES.10000.0012@yahoo.com,Michael,Jones,Downloaded Brochure,SUV,,19-02-2025
3002700000LKj3PAAX,AWILLIAMS.10000.0013@hotmail.com,Angela,Williams,Test Drive Sign-up,Sedan,8112233445,20-02-2025
3002700000LKj3PAAX,AWILLIAMS.10000.0013@hotmail.com,Angela,Williams,Dealer Info Lookup,Location: Houston,,21-02-2025
3002700000MNp5FAAZ,BRICHARDS.10000.0014@gmail.com,Bradley,Richards,Downloaded Brochure,Hatchback,,22-02-2025
3002700000MNp5FAAZ,BRICHARDS.10000.0014@gmail.com,Bradley,Richards,Test Drive Sign-up,Sedan,9223344556,23-02-2025
3002700000KPq7BAAB,SJOHNSON.10000.0015@yahoo.com,Sandra,Johnson,Dealer Info Lookup,Location: Dallas,,24-02-2025
3002700000KPq7BAAB,SJOHNSON.10000.0015@yahoo.com,Sandra,Johnson,Downloaded Brochure,SUV,,25-02-2025
3002700000LPz8TAAF,TANDERSON.10000.0016@hotmail.com,Timothy,Anderson,Test Drive Sign-up,Sedan,9334455667,26-02-2025
3002700000LPz8TAAF,TANDERSON.10000.0016@hotmail.com,Timothy,Anderson,Dealer Info Lookup,Location: Seattle,,27-02-2025
3002700000XPv1LAAW,KFOSTER.10000.0017@yahoo.com,Karen,Foster,Downloaded Brochure,Hatchback,,28-02-2025
3002700000XPv1LAAW,KFOSTER.10000.0017@yahoo.com,Karen,Foster,Test Drive Sign-up,SUV,9445566778,01-03-2025
3002700000NMp2FAAZ,RWHITE.10000.0018@gmail.com,Roger,White,Dealer Info Lookup,Location: Denver,,02-03-2025
3002700000NMp2FAAZ,RWHITE.10000.0018@gmail.com,Roger,White,Downloaded Brochure,Sedan,,03-03-2025
3002700000WTq4BAAY,CBAKER.10000.0019@hotmail.com,Christine,Baker,Test Drive Sign-up,Hatchback,9556677889,04-03-2025
3002700000WTq4BAAY,CBAKER.10000.0019@hotmail.com,Christine,Baker,Dealer Info Lookup,Location: Austin,,05-03-2025
3002700000VPp5GAAZ,PBROWN.10000.0020@yahoo.com,Patrick,Brown,Downloaded Brochure,SUV,,06-03-2025
3002700000VPp5GAAZ,PBROWN.10000.0020@yahoo.com,Patrick,Brown,Test Drive Sign-up,Sedan,9667788990,07-03-2025
3002700000XPm6JAAW,SLAWRENCE.10000.0021@gmail.com,Stephanie,Lawrence,Dealer Info Lookup,Location: Atlanta,,08-03-2025
